생산자책임재활용제도_빈용기보증금제도관리	연도별 빈용기보증금 계획에 대한 데이터로 대분류, 중분류, 소분류 구분, 규격, 빈용기보증금, 취금수수료액 등의 항목을 제공.
생산자책임재활용제도_회수및재활용의무이행결과	생산자책임재활용제도 대상 포장재 및 제품의 연도별 재활용 의무이행 결과에 대한 데이터로 품목분류, 출고량, 의무량, 최종실적 등의 항목을 제공.
생산자책임재활용제도_회수및재활용의무이행계획	연도별 회수 및 재활용 의무이행 계획에 대한 데이터로 품목, 재활용방법, 회수수탁자, 재활용수탁자 등의 항목을 제공.
지자체 공동주택별 RFID음식물종량기기 설치현황	지자체 , 공동주택별 RFID음식물종량기기 설치 현황에 대한 데이터로 지자체명, 공동주택명, 공동주택 주소, 설치대수를 제공.
자치단체별 RFID기반 음식물종량기기 설치 현황	음식물쓰레기 종량제의 일환으로 시행중인 RFID기반 음식물쓰레기 종량제 시스템을 채택한 지자체의 음식물쓰레기 배출통계정보를 제공하는 서비스로 자치단체별 RFID기반 음식물종량기기 설치 현황(설치대수, 추정 세대수 등).
생산자책임재활용제도_분리배출표시지정	분리배풀표시제도의 지정승인 내역에 대한 데이터로 대상품목, 제품규격, 재질, 무게, 용도 등의 항목을 제공.
지자체별 RFID음식물쓰레기 배출량	음식물쓰레기 종량제의 일환으로 시행중인 RFID기반 음식물쓰레기 종량제 시스템을 채택한 지자체의 음식물쓰레기 배출통계정보를 제공하는 서비스로 2017년7월~2020년7월까지의 지자체별 RFID음식물쓰레기 배출량.
생산자책임재활용제도_지역본부	한국환경공단 지역본부에 대한 내역으로 지역본부명, 연락처, 팩스번호, 위치, 관할지역 시군구 등의 항목을 제공.
수질오염정보(수질오염사고현황)	전국에서 발생하는 수질오염사고 발생 자료를 데이터화하여 사고발생가능성이 높은 지역 등에 대해 효과적으로 사고대응이 가능하도록 관리.
층간소음 거주위치별 분석	한국환경공단 층간소음 이웃사이센터를 통해 접수되어 2차 현장진단 대상 중 신청자의 거주위치 별 접수 건수를 제공.
층간소음 원인별 분석	한국환경공단 층간소음 이웃사이센터를 통해 접수되어 2차 현장진단 대상 중 신청자의 소음원인 별 접수 건수를 제공.
층간소음 준공연도별 분석	한국환경공단 층간소음 이웃사이센터를 통해 접수되어 2차 현장진단 대상 중 신청자의 준공연도 별 접수 건수를 제공.
층간소음 주거형태별 분석	한국환경공단 층간소음 이웃사이센터를 통해 접수되어 2차 현장진단 대상 중 신청자의 주거형태 별 접수 건수를 제공.
친환경자동차 정보_하이브리드보조금대상차 정보	친환경 자동차 중 하이브리드 보조금 대상차에 대한 정보(차량의 명칭, 자동차명 약어, 차량 명칭 관리번호, 자동차의 구분, 국내/국외 수입 구분, 제작사 등록번호, 연료의 종류, 등록일자, 수정일자 등)를 제공.
폐기물부담금부과관리시스템_관할지역정보	한국환경공단 폐기물부담금부과관리시스템의 관할지역정보. www. budamgum. or. kr 폐기물부담금시스템 관할지역 정보를 파일로 확인할 수 있음.
폐기물부담금부과관리시스템_게시판(공지사항)	한국환경공단 폐기물부담금부과관리시스템의 게시판(공지사항) 정보. www. budamgum. or. kr 폐기물부담금시스템 공지사항의 목록을 파일로 확인할 수 있음.
탄소포인트제 데이터이력관리용 목록(기타)	탄소포인트제 데이터 처리에 있어서 가장 기본적으로 필요한 코드에 따른 13개 DB 테이블 정보(2006~2021).
탄소포인트제 데이터이력관리용 목록(사용량 관련)	전기사용량, 지역난방사용량, 가스사용량, 상수도사용량, 사용량_기타, 수용가정보, 주소정보, 그린카드정보, 에너지업체자료, 기타 시스템 관련 자료.
순환자원정보_수의견적 공고정보	순환자원정보센터 전자거래를 위한 수의견적 정보(공고자 기본사항, 공고 일정, 견적방식 매각/매입/용역, 견적가격 등).
교육신청정보	과거 (2014년 10월 ~ 2020년 9월) 화평법 산업계도움센터에서 제공한 화학법령 관련 온/오프라인 교육신청정보(교육명/교육지역/교육장소/교육일자/교육시작시간/교육종료시간/참석인원/정원).
폐자원에너지 수입시설 검사현황	폐자원에너지 고형연료제품 (BIO-SRF 성형 비성형) 에 대한 고형연료제품 을 수입하는 시설의 업체별 수입량 등의 년간 데이터.
